globaleventid,day,monthyear,year,fractiondate,actor1code,actor1name,actor1countrycode,actor1knowngroupcode,actor1ethniccode,actor1religion1code,actor1religion2code,actor1type1code,actor1type2code,actor1type3code,actor2code,actor2name,actor2countrycode,actor2knowngroupcode,actor2ethniccode,actor2religion1code,actor2religion2code,actor2type1code,actor2type2code,actor2type3code,isrootevent,eventcode,eventbasecode,eventrootcode,quadclass,goldsteinscale,nummentions,numsources,numarticles,avgtone,actor1geo_type,actor1geo_fullname,actor1geo_countrycode,actor1geo_adm1code,actor1geo_adm2code,actor1geo_lat,actor1geo_long,actor1geo_featureid,actor2geo_type,actor2geo_fullname,actor2geo_countrycode,actor2geo_adm1code,actor2geo_adm2code,actor2geo_lat,actor2geo_long,actor2geo_featureid,actiongeo_type,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_adm2code,actiongeo_lat,actiongeo_long,actiongeo_featureid,dateadded,sourceurl,eped_uuid,eped_source_url,eped_sec_classification,eped_source,eped_intake_dt,eped_retention_m,eped_purge_dt,eped_customer,eped_customer_request,eped_customer_request_location
1094969878,20230411,202304,2023,2023.2767,USA,UNITED STATES,USA,,,,,,,,JPNCVL,JAPAN,JPN,,,,,CVL,,,1,43,43,4,1,2.8,2,1,2,0.289855072463769,3,"Morehouse College, Georgia, United States",US,USGA,GA121,33.7462,-84.4151,318449,1,Japan,JA,JA,,36.0,138.0,JA,3,"Morehouse College, Georgia, United States",US,USGA,,33.7462,-84.4151,318449,2023-04-11 14:00:00,https://www.masslive.com/opinion/2023/04/dr-ira-helfands-prestigious-award-is-far-more-than-symbolic-editorial.html,6cb117da-9b6f-4ab1-8d68-bf2dc7ef15e3,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969879,20230411,202304,2023,2023.2767,USA,UNITED STATES,USA,,,,,,,,JUD,PROSECUTOR,,,,,,JUD,,,1,10,10,1,1,0.0,5,1,5,-8.88157894736842,3,"Fremont County, Idaho, United States",US,USID,ID043,44.7502,-111.376,395408,2,"Idaho, United States",US,USID,,44.2394,-114.51,ID,2,"Idaho, United States",US,USID,,44.2394,-114.51,ID,2023-04-11 14:00:00,http://www.hngn.com/articles/247681/20230411/lori-vallow-trial-bombshell-detail-tammy-daybell-s-cause-death.htm,ca8aa3b4-9a07-43eb-8855-3f79018d339a,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969883,20230411,202304,2023,2023.2767,USA,UNITED STATES,USA,,,,,,,,JUD,JUDICIARY,,,,,,JUD,,,1,30,30,3,1,4.0,3,1,3,-2.95748613678373,0,,GG,GG,,,42.0,GG,0,,GG,GG,,,42.0,GG,0,,GG,GG,,,42.0,GG,2023-04-11 14:00:00,https://agenda.ge/en/news/2023/1445,14636296-2de1-49c3-89a6-54cfed3810a4,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969886,20230411,202304,2023,2023.2767,USA,WEST VIRGINIA,USA,,,,,,,,LAB,WORKER,,,,,,LAB,,,1,51,51,5,1,3.4,1,1,1,0.427350427350429,2,"West Virginia, United States",US,USWV,,38.468,-80.9696,WV,2,"West Virginia, United States",US,USWV,,38.468,-80.9696,WV,2,"West Virginia, United States",US,USWV,,38.468,-80.9696,WV,2023-04-11 14:00:00,https://www.trains.com/trn/news-reviews/news-wire/west-virginia-bridge-to-honor-korean-war-casualty-former-co-worker/,2c62378a-86f8-4328-ad19-c4f7bc672c23,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969889,20230411,202304,2023,2023.2767,USA,UNITED STATES,USA,,,,,,,,LEG,LEGISLATURE,,,,,,LEG,,,1,20,20,2,1,3.0,4,1,4,-3.37552742616034,3,"Honolulu, Hawaii, United States",US,USHI,HI003,21.3069,-157.858,366212,3,"Honolulu, Hawaii, United States",US,USHI,HI003,21.3069,-157.858,366212,3,"Honolulu, Hawaii, United States",US,USHI,HI003,21.3069,-157.858,366212,2023-04-11 14:00:00,https://www.staradvertiser.com/2023/04/11/editorial/letters/letter-legislatures-pettiness-causes-center-damage/,04a74207-75cc-4dcc-8a68-2c5397bdbd1e,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969894,20230411,202304,2023,2023.2767,USA,UNITED STATES,USA,,,,,,,,MDV,MALDIVE,MDV,,,,,,,,1,43,43,4,1,2.8,2,1,2,0.28169014084507,1,United States,US,US,,39.828175,-98.5795,US,1,Maldives,MV,MV,,3.2,73.0,MV,1,United States,US,US,,39.828175,-98.5795,US,2023-04-11 14:00:00,https://www.filmibeat.com/telugu/news/2023/adorable-babymoon-pics-of-ram-charan-with-pregnant-wife-upasana-from-maldives-out-fans-can-t-keep-c-350569.html,b1448c87-eda4-4a2c-b376-4b7c522c9383,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969898,20230411,202304,2023,2023.2767,USA,PHILADELPHIA,USA,,,,,,,,MED,MEDIA,,,,,,MED,,,0,36,36,3,1,4.0,6,1,6,-1.82328190743338,3,"Philadelphia, Pennsylvania, United States",US,USPA,PA101,39.9523,-75.1638,1209052,3,"Philadelphia, Pennsylvania, United States",US,USPA,PA101,39.9523,-75.1638,1209052,3,"Tabernacle Baptist Church, Pennsylvania, United States",US,USPA,,40.4555,-80.0138,2431336,2023-04-11 14:00:00,https://www.inquirer.com/newsletters/philly-mayor-debate-what-watch-for-20230411.html,dc6bfd00-9bb4-409d-a0cc-4f4cc9bdb91a,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969899,20230411,202304,2023,2023.2767,USA,UNITED STATES,USA,,,,,,,,MED,MEDIA,,,,,,MED,,,1,43,43,4,1,2.8,8,1,8,6.07287449392713,3,"Connestee Falls, North Carolina, United States",US,USNC,NC175,35.1557,-82.7404,1017722,3,"Connestee Falls, North Carolina, United States",US,USNC,,35.1557,-82.7404,1017722,3,"Connestee Falls, North Carolina, United States",US,USNC,,35.1557,-82.7404,1017722,2023-04-11 14:00:00,https://www.transylvaniatimes.com/arts/artist-maureen-chapman-to-be-featured-during-exhibit/article_5a578cf6-d7d6-11ed-be89-3b3732dfadb7.html,171f25f3-0697-4679-b3be-a81e2c71f5c1,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969900,20230411,202304,2023,2023.2767,USA,MISSOURI,USA,,,,,,,,MED,WEBSITE,,,,,,MED,,,0,43,43,4,1,2.8,8,1,8,-2.15588723051409,2,"Missouri, United States",US,USMO,,38.4623,-92.302,MO,2,"Missouri, United States",US,USMO,,38.4623,-92.302,MO,2,"Missouri, United States",US,USMO,,38.4623,-92.302,MO,2023-04-11 14:00:00,https://www.kttn.com/missouri-department-of-conservation-reports-117-new-cases-of-cwd-in-2022/,7b48a7c5-a0fa-4086-a5ef-b87afa0ad233,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969901,20230411,202304,2023,2023.2767,USA,DENVER,USA,,,,,,,,MNCUSA,UNION PACIFIC,USA,,,,,MNC,,,1,30,30,3,1,4.0,2,1,2,-0.53763440860215,3,"Denver, Colorado, United States",US,USCO,CO031,39.7392,-104.985,201738,3,"Denver, Colorado, United States",US,USCO,CO031,39.7392,-104.985,201738,3,"Denver, Colorado, United States",US,USCO,CO031,39.7392,-104.985,201738,2023-04-11 14:00:00,https://www.trains.com/trn/news-reviews/news-wire/patriot-rail-to-serve-new-denver-area-industrial-park/,1e604248-1802-45e0-af8e-71ae24a28e30,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969902,20230411,202304,2023,2023.2767,USA,DENVER,USA,,,,,,,,MNCUSA,UNION PACIFIC,USA,,,,,MNC,,,1,33,33,3,1,5.2,2,1,2,-0.53763440860215,3,"Denver, Colorado, United States",US,USCO,CO031,39.7392,-104.985,201738,3,"Adams County, Colorado, United States",US,USCO,,39.8666,-104.384,198116,3,"Rocky Mountain, Colorado, United States",US,USCO,,38.8597,-104.957,193446,2023-04-11 14:00:00,https://www.trains.com/trn/news-reviews/news-wire/patriot-rail-to-serve-new-denver-area-industrial-park/,daacb4c0-d333-4d20-961f-f905b34e542e,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969903,20230411,202304,2023,2023.2767,USA,AMERICAN,USA,,,,,,,,NGOHLHIRC,RED CROSS,,IRC,,,,NGO,HLH,,1,51,51,5,1,3.4,20,2,20,1.00603621730382,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2023-04-11 14:00:00,https://lite987.com/ixp/988/p/new-york-red-cross-offering-trip-to-napa-for-donating-in-april/,0d0feff6-b1e8-46fd-88eb-5bfa638579b2,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969904,20230411,202304,2023,2023.2767,USA,AMERICAN,USA,,,,,,,,NGOHLHIRC,RED CROSS,,IRC,,,,NGO,HLH,,1,70,70,7,2,7.0,20,2,20,1.00603621730382,2,"California, United States",US,USCA,,36.17,-119.746,CA,2,"California, United States",US,USCA,,36.17,-119.746,CA,2,"California, United States",US,USCA,,36.17,-119.746,CA,2023-04-11 14:00:00,https://lite987.com/ixp/988/p/new-york-red-cross-offering-trip-to-napa-for-donating-in-april/,7103faa4-7678-49b3-9f99-bc27799e9aff,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969905,20230411,202304,2023,2023.2767,USA,AMERICAN,USA,,,,,,,,NGOHLHIRC,RED CROSS,,IRC,,,,NGO,HLH,,1,70,70,7,2,7.0,20,2,20,1.00603621730382,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2023-04-11 14:00:00,https://lite987.com/ixp/988/p/new-york-red-cross-offering-trip-to-napa-for-donating-in-april/,9d8ef21b-7325-4a90-a291-6e74a9087775,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969906,20230411,202304,2023,2023.2767,USA,WASHINGTON,USA,,,,,,,,POL,POLISH,POL,,,,,,,,1,43,43,4,1,2.8,6,1,6,2.88888888888889,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,4,"Warsaw, (PL67), Poland",PL,PL67,24452,52.25,21.0,-534433,4,"Warsaw, (PL67), Poland",PL,PL67,24452,52.25,21.0,-534433,2023-04-11 14:00:00,https://www.timesofisrael.com/polish-pm-heads-to-washington-to-expand-defense-ties-with-us/,9ecb1c47-1325-4aba-9964-36cd6127a270,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
